ID,GATS1e,EEig08x,EEig07d,GGI6,R6v+,H-051,Y Exp.,Y-Pred,Seta
1,0.722,2.372,1.846,0.771,0.042,0,9.59,9.84,1
2,0.71,1.869,1.846,0.567,0.046,2,10.32,10.43,1
3,0.709,2.372,2.145,0.771,0.031,0,9.96,10.62,1
4,0.705,1.984,1.846,0.69,0.049,2,10.72,10.47,1
5,0.732,2.334,2.145,0.69,0.033,2,10.6,9.56,1
6,0.747,2.334,1.873,0.446,0.034,0,8.68,8.69,1
7,0.739,2.334,2.144,0.567,0.033,2,10.02,9.28,1
8,0.743,2.334,1.873,0.446,0.02,0,7.68,7.91,1
9,0.734,2.334,2.145,0.567,0.019,2,8.96,8.48,1
10,0.727,2.334,2.145,0.69,0.018,2,9.82,8.64,1
11,0.833,2.874,1.952,0.884,0.02,2,6.22,6.03,1
12,0.726,2.72,1.904,0.609,0.012,0,6.04,7.03,1
13,0.801,2.83,1.961,0.488,0.023,3,5.29,5.51,1
14,0.864,0.941,0.745,0.202,0.022,2,4.49,4.88,2
15,0.828,1,0.775,0.304,0.022,2,5.72,5.24,1
16,0.814,1.095,0.989,0.304,0.02,2,5.24,6.11,1
17,0.814,1,0.986,0.467,0.022,2,5.74,6.88,1
18,0.802,1.345,1.155,0.304,0.02,2,5.82,6.11,1
19,0.802,1.393,0.8,0.406,0.029,2,6.1,4.86,1
20,0.754,2,1.415,0.325,0.025,2,6.11,6.02,1
21,0.802,1.421,1.087,0.59,0.023,2,5.74,6.4,1
22,0.792,1.666,1.171,0.427,0.02,2,6.44,5.53,2
23,0.792,1.618,1.071,0.529,0.027,2,6.09,5.82,1
24,0.747,2,1.418,0.448,0.026,2,6.72,6.38,1
25,0.711,3.218,2.454,0.909,0.013,0,8.89,8.61,2
26,0.735,3.218,2.527,0.909,0.014,0,9.44,8.75,1
27,0.763,3.218,2.623,0.909,0.014,0,10.25,9.01,2
29,0.837,3.218,2.555,0.909,0.014,0,7.12,8.14,2
30,0.734,3.232,2.623,1.013,0.013,0,8.89,9.39,1
31,0.753,3.232,2.623,0.912,0.017,0,8.95,9.24,2
32,0.734,3.232,2.623,1.013,0.015,0,9.55,9.46,2
33,0.719,3.232,2.623,1.103,0.013,0,9.19,9.64,2
