Year	Population	Area: Square Kilometers	Area: Square Miles	Population per Square Kilometer	Population per Square Mile
1890	250,000	NA	NA	NA	NA
1910	197,000	NA	NA	NA	NA
1920	251,000	NA	NA	NA	NA
1930	677,000	NA	NA	NA	NA
1940	1,142,000	NA	NA	NA	NA
1949	1,446,000	NA	NA	NA	NA
1960	2,445,000	NA	NA	NA	NA
1970	5,537,000	605.4	233.5	9,147	23,708
1980	6,890,000	605.4	233.5	11,382	29,501
1990	10,726,000	605.4	233.6	17,717	45,923
1991	10,904,527	605.4	233.5	18,013	46,690
1992	10,969,862	605.4	233.5	18,121	46,970
1993	10,925,464	605.4	233.6	18,047	46,777
1994	10,798,700	605.4	233.6	17,836	46,232
1995	10,595,943	605.8	233.7	17,491	45,338
1996	10,469,852	605.6	233.6	17,289	44,813
1997	10,389,057	605.5	233.6	17,157	44,472
1998	10,323,494	605.5	233.6	17,049	44,191
1999	10,323,448	605.5	233.6	17,049	44,191


